Molecule ChEMBL ID,Molecular Weight,Smiles,Standard Value,Standard Units,Assay Organism
CHEMBL4591422,601.29,C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.Cl,32.0,ug.mL-1,Escherichia coli
CHEMBL4455637,637.85,C=C[C@]1(C)C[C@@H](OC(=O)CSc2nc(NC(=O)CN3CCCC3)c3cc[nH]c3n2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,32.0,ug.mL-1,Escherichia coli
CHEMBL4463662,976.14,CO[C@]1(C)C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(OC)C[C@@H](C)[C@H](O)[C@H](C)CN(C)C[C@H](COCc3cn(-c4ccc(OC(F)(F)F)cc4)nn3)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O,64.0,ug.mL-1,Escherichia coli
CHEMBL4164136,605.63,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4cn(CC(=O)N[C@@H](Cc5ccccc5)C(=O)O)nn4)CC3)cc21,,,Escherichia coli ATCC 25922
CHEMBL4172012,589.61,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(Cc4cn(CC(=O)N[C@@H](Cc5ccccc5)C(=O)O)nn4)CC3)nc21,,,Escherichia coli ATCC 25922
CHEMBL1631793,488.38,O=C(O)CN1C(=O)/C(=C\c2ccc(/C=C/C(=O)c3cccc(Br)c3)cc2)SC1=S,64.0,ug.mL-1,Escherichia coli
CHEMBL4165238,476.51,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4cn(-c5ccccc5)nn4)CC3)cc21,300.0,nM,Escherichia coli ATCC 25922
CHEMBL1631794,488.38,O=C(O)CN1C(=O)/C(=C\c2ccc(/C=C/C(=O)c3ccc(Br)cc3)cc2)SC1=S,64.0,ug.mL-1,Escherichia coli
CHEMBL1631796,454.49,O=C(O)CN1C(=O)/C(=C\c2ccc(/C=C/C(=O)c3ccc([N+](=O)[O-])cc3)cc2)SC1=S,64.0,ug.mL-1,Escherichia coli
CHEMBL1631797,469.54,COCOc1cccc(C(=O)/C=C/c2ccc(/C=C3/SC(=S)N(CC(=O)O)C3=O)cc2)c1,64.0,ug.mL-1,Escherichia coli
CHEMBL3408489,2841.51,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)O,4000.0,nM,Escherichia coli
CHEMBL4476233,976.14,CO[C@]1(C)C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(OC)C[C@@H](C)[C@H](O)[C@H](C)CN(C)C[C@@H](COCc3cn(-c4ccc(OC(F)(F)F)cc4)nn3)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O,128.0,ug.mL-1,Escherichia coli
CHEMBL4159310,358.4,CCCCCN(CCCCC)C(=O)[C@@H](N)CCCCN.Cl.Cl,128.0,ug.mL-1,Escherichia coli ATCC 25922
CHEMBL3272715,286.33,Nc1nc(N)c2cc(Sc3ccc(F)cc3)ccc2n1,0.25,ug.mL-1,Escherichia coli
CHEMBL1946208,259.26,Cc1cc(C)n(CC(=O)c2ccc([N+](=O)[O-])cc2)n1,256.0,ug.mL-1,Escherichia coli
CHEMBL5,232.24,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,1.0,ug.mL-1,Escherichia coli
CHEMBL1631799,466.54,CC(=O)Nc1ccc(C(=O)/C=C/c2ccc(/C=C3/SC(=S)N(CC(=O)O)C3=O)cc2)cc1,64.0,ug.mL-1,Escherichia coli
CHEMBL1642433,442.27,O=c1oc2c(Br)cccc2cc1-c1nc2ccccc2c2nc3ccccc3n12,45.0,ug.mL-1,Escherichia coli
CHEMBL260091,437.5,C[C@@H](O)[C@H](NC(=O)c1ccc(C#Cc2ccc(CN3CCOCC3)cc2)cc1)C(=O)NO,1.3,ug.mL-1,Escherichia coli
CHEMBL1642626,521.17,O=c1oc2c(Br)cc(Br)cc2cc1-c1nc2ccccc2c2nc3ccccc3n12,15.0,ug.mL-1,Escherichia coli
CHEMBL1230182,362.39,C[C@@H](O)[C@H](NC(=O)c1ccc(C#CC#Cc2ccccc2)cc1)C(=O)NO,0.7,ug.mL-1,Escherichia coli
CHEMBL1643370,377.4,C[C@@H](O)[C@H](NC(=O)c1ccc(C#CC#Cc2cccc(N)c2)cc1)C(=O)NO,6.3,ug.mL-1,Escherichia coli
CHEMBL398074,895.04,NCCNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cc(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCCN)cc(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCCN)c1,125000.0,nM,Escherichia coli
CHEMBL2374311,333.95,CC(=O)[O-].CN1CN(C)C(Cl)=C1Cl.[Ag+],10.0,ug.mL-1,Escherichia coli
CHEMBL4227277,375.81,O=C1Oc2ccc(Cl)cc2N/C1=C\C(=O)c1ccc(-c2ccccc2)cc1,,,Escherichia coli
CHEMBL8,331.35,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.06,ug.mL-1,Escherichia coli
CHEMBL376140,585.66,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.12,ug.mL-1,Escherichia coli
