Molecule ChEMBL ID,Molecular Weight,Smiles,Standard Value,Standard Units,Assay Organism
CHEMBL4104792,484.31,Cc1cc(F)ccc1Nc1c2ccccc2[n+](C)c2c1oc1ccccc12.[I-],12.0,ug.mL-1,Escherichia coli ATCC 25922
CHEMBL234892,459.46,COc1c(N2CCc3sccc3C2)c(F)c([N+](=O)[O-])c2c(=O)c(C(=O)O)cn(C3CC3)c12,16.0,ug.mL-1,Escherichia coli
CHEMBL1630673,481.93,Cc1c(CC(=O)N[C@@H](C(=O)O)C(C)C)c(=O)oc2c(C)c3occ(-c4ccc(Cl)cc4)c3cc12,256.0,ug.mL-1,Escherichia coli
CHEMBL3331322,469.45,NC[C@H]1/C(=N\OCc2ccccc2)CN1c1nc2c(cc1F)c(=O)c(C(=O)O)cn2[C@@H]1C[C@@H]1F,32.0,ug.mL-1,Escherichia coli
CHEMBL3331167,272.3,COC1(C)Cc2c(C(C)=O)c(O)c3ccccc3c2O1,16.0,ug.mL-1,Escherichia coli
CHEMBL3331267,270.28,CC(=O)c1c2c(c3ccccc3c1O)O[C@H]1OCC[C@@H]21,2.0,ug.mL-1,Escherichia coli
CHEMBL3338941,765.84,N=C(N)NCCc1ccc(OCc2cc(COc3ccc(CCNC(=N)N)cc3)cc(COc3ccc(CCNC(=N)N)cc3)c2)cc1.O=C(O)C(F)(F)F,1.0,ug.mL-1,Escherichia coli
CHEMBL2114413,383.42,COC(=O)[C@@H]1CSCc2c(O)cc(OC)c(C)c2C(=O)OCCC(=O)N1,64.0,ug.mL-1,Escherichia coli
CHEMBL32162,639.26,Br.Br.Clc1ccc(N=c2ccn(CCCCCn3ccc(=Nc4ccc(Cl)cc4)cc3)cc2)cc1,125.0,ug.mL-1,Escherichia coli
CHEMBL4226074,443.49,Fc1ccccc1Cn1c(Cn2cnc3c(N4CCOCC4)ncnc32)nc2ccccc21,64.0,ug.mL-1,Escherichia coli
CHEMBL4225901,459.94,Clc1cccc(Cn2c(Cn3cnc4c(N5CCOCC5)ncnc43)nc3ccccc32)c1,256.0,ug.mL-1,Escherichia coli
CHEMBL3331324,407.38,CCO/N=C1/CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3[C@@H]2C[C@@H]2F)[C@@H]1CN,128.0,ug.mL-1,Escherichia coli
CHEMBL3331324,407.38,CCO/N=C1/CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3[C@@H]2C[C@@H]2F)[C@@H]1CN,2.0,ug.mL-1,Escherichia coli
CHEMBL277141,474.58,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@@H](c4ccc([C@@H](N)CC(N)=O)cc4)C3)[C@H](C)[C@H]12,0.025,ug.mL-1,Escherichia coli
CHEMBL140471,386.5,Cc1cc(Nc2ccc(OCC3CCCCC3)cc2)c2c(ccc3[nH]cnc32)n1,0.5,ug.mL-1,Escherichia coli
CHEMBL1824329,353.45,COc1cc2c(cc1OC)C1=NN(C(N)=S)C(c3ccccc3)C1C2,128.0,ug.mL-1,Escherichia coli
CHEMBL8,331.35,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,25.0,ug.mL-1,Escherichia coli
CHEMBL130,323.13,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,50.0,ug.mL-1,Escherichia coli
CHEMBL4225286,475.64,CCCCCCCCCCn1c(Cn2cnc3c(N4CCOCC4)ncnc32)nc2ccccc21,128.0,ug.mL-1,Escherichia coli ATCC 25922
CHEMBL555166,508.96,CN(C)c1cc(N)c(O)c2c1CC1CC3[C@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C1=C2O.Cl,8.0,ug.mL-1,Escherichia coli
CHEMBL2337351,450.54,CC(=O)c1cccc(N[C@H]2[C@H](N)[C@@](NC(=O)N3CCCC3)([C@H](C)O)[C@@](C)(O)[C@@]2(O)CO)c1,64.0,ug.mL-1,Escherichia coli
CHEMBL351539,359.4,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3C[C@@H]4CC[C@H](C3)N4C)cc21,3.12,ug.mL-1,Escherichia coli
CHEMBL8,331.35,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,2.0,ug.mL-1,Escherichia coli
CHEMBL4227854,507.52,COc1ccc(-c2nc(C(=O)N3CCN(C)CC3)nc3nc(-c4ccccc4)cc(C(F)(F)F)c23)cc1,15.6,ug.mL-1,Escherichia coli
CHEMBL134550,400.41,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(CN3C[C@H](OC(N)=O)CC3C(N)=O)S[C@H]12,1.0,ug.mL-1,Escherichia coli
CHEMBL554041,581.73,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC.Cl.Cl,1.0,ug.mL-1,Escherichia coli
CHEMBL158,435.44,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,0.06,ug.mL-1,Escherichia coli
CHEMBL2204560,358.74,Cc1nn(C(=O)c2ccc(F)cc2)c2c1nnc1cc(Cl)c(F)cc12,25.0,ug.mL-1,Escherichia coli
CHEMBL4587151,294.26,CCOC(=O)CC1Oc2cc([N+](=O)[O-])ccc2N(C)C1=O,92700.0,nM,Escherichia coli
CHEMBL2325156,539.43,CS(=O)(=O)NC(=O)COc1ccc2sc(CNc3nncc(-c4c(Cl)cccc4Cl)n3)nc2c1,32.0,ug.mL-1,Escherichia coli
CHEMBL305402,681.73,N#CC[n+]1ccc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N\OC4CCCC4)c4csc(N)n4)[C@H]3CO2)cc1.O=S(=O)([O-])O,0.39,ug.mL-1,Escherichia coli
CHEMBL4513993,425.19,NC(=O)c1c(F)ccc(OCc2nn(-c3ccc(Br)cc3)c(=O)[nH]2)c1F,64.0,ug.mL-1,Escherichia coli
CHEMBL381202,596.68,CN(C)c1cc(NC(=O)CCC2CCCC2)c(O)c2c1CC1CC3[C@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C1=C2O,128.0,ug.mL-1,Escherichia coli
CHEMBL4081765,456.01,COc1ccc(C2SCCC(=O)N2CCCCNc2ccnc3cc(Cl)ccc23)cc1,500.0,ug.mL-1,Escherichia coli
CHEMBL4076729,1188.48,CC[C@H](C)[C@H](NC(=O)[C@@H](Cc1ccccc1)NC)C(=O)N[C@@H](CO)C(=O)N[C@H](CN)C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](CN)C(=O)N[C@H]1C(=O)N[C@@H](CN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O[C@H]1C)[C@@H](C)CC)[C@@H](C)CC,64.0,ug.mL-1,Escherichia coli ATCC 25922
CHEMBL1730,455.47,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,1024.0,ug.mL-1,Escherichia coli
CHEMBL4210587,1690.05,N=C(N)NCCC[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,8000.0,nM,Escherichia coli ATCC 25922
CHEMBL4210587,1690.05,N=C(N)NCCC[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,4000.0,nM,Escherichia coli ATCC 25922
CHEMBL4215259,1885.24,N=C(N)NCCC[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,16000.0,nM,Escherichia coli ATCC 25922
CHEMBL372714,591.71,NCC1CCC(N)C(OC2C(N)CC(NC(=O)[C@H](N)CCCN=C(N)N)C(C3OC(CO)C(O)C(N)C3O)C2O)O1,100.0,ug.mL-1,Escherichia coli
CHEMBL177,585.61,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,32.0,ug.mL-1,Escherichia coli
CHEMBL2430803,552.57,O=C(CSc1nnc(-c2cccc([N+](=O)[O-])c2)o1)Nc1ccc(C(=O)/C=C\c2cc3ccccc3cc2O)cc1,62.5,ug.mL-1,Escherichia coli
CHEMBL2376252,515.96,N#Cc1c(-c2ccc(Cl)cc2)c(C#N)c(=O)n(/N=C/c2cn(-c3ccccc3)nc2-c2ccccc2)c1N,500.0,ug.mL-1,Escherichia coli
CHEMBL2430802,546.56,COc1ccc(OC)c(/C=C\C(=O)c2ccc(NC(=O)CSc3nnc(-c4cccc([N+](=O)[O-])c4)o3)cc2)c1,62.5,ug.mL-1,Escherichia coli
CHEMBL2414967,597.52,O=C(NCC(=O)N1CCN(c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)CC1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,64.0,ug.mL-1,Escherichia coli
CHEMBL4101088,268.32,CNC(=O)Cn1nc(C)c2c(C)c3ccccc3nc21,125.0,ug.mL-1,Escherichia coli
CHEMBL200932,186.28,CC1=C(O)SC(C)(C(C)C)C1=O,1000000.0,nM,Escherichia coli
CHEMBL13310,506.58,CC(=O)OCC1=C(C(=O)OC(c2ccccc2)c2ccccc2)N2C(=O)[C@@H](NC3=NCCN3)C2SC1,32.0,ug.mL-1,Escherichia coli
CHEMBL399435,578.7,CC[C@@H]1CCC/C=C/C=C/[C@H](O)C[C@@H](O)C/C=C\C=C\[C@@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)C/C=C/C=C\C(=O)O1,100.0,ug.mL-1,Escherichia coli
CHEMBL4071928,381.39,CCOC(=O)C1=C(N)Oc2[nH]nc(C)c2C1c1cc(=O)oc2ccc(C)cc12,12.5,ug.mL-1,Escherichia coli
CHEMBL4064474,392.98,CC(C)(C)c1cc(-n2cc(CCCNC(=N)N)nn2)cc(C(C)(C)C)c1.Cl,16.0,ug.mL-1,Escherichia coli ATCC 25922
CHEMBL199024,413.48,Cc1ccc(/N=c2\oc3c(C)ncc(CO)c3cc2C(=O)Nc2cccc(C)c2)cc1,50.0,ug.mL-1,Escherichia coli
CHEMBL4095215,503.74,CCCCCCCCCCn1c2ccc(-c3csc(N)n3)cc2c2cc(-c3csc(N)n3)ccc21,256.0,ug.mL-1,Escherichia coli
CHEMBL2079645,373.37,C/C=C\C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2CO1,2.0,ug.mL-1,Escherichia coli
CHEMBL555533,408.86,Cc1c(F)c(N2C[C@H]3C[C@@H]2[C@H](C)N3)nc2c1c(=O)c(C(=O)O)cn2C1CC1.Cl,0.004,ug.mL-1,Escherichia coli
CHEMBL160097,518.54,S=C(N/N=C(/c1ccccn1)C12CC3CC(CC(C3)C1)C2)NNC(=S)c1ccc(Cl)cc1Cl,1876.0,ug.mL-1,Escherichia coli
CHEMBL4066615,441.98,COc1cccc(C2SCCC(=O)N2CCCNc2ccnc3cc(Cl)ccc23)c1,250.0,ug.mL-1,Escherichia coli
CHEMBL44354,546.59,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,0.047,ug.mL-1,Escherichia coli
CHEMBL2377700,324.34,O=C(N[C@H](CO)C(=O)NO)c1ccc(C#Cc2ccccc2)cc1,50000.0,nM,Escherichia coli
CHEMBL550799,471.32,Cc1cn(C[C@H]2CN(c3ccc(N4CCN(C(=O)C(Cl)Cl)CC4)c(F)c3)C(=O)O2)nn1,64.0,ug.mL-1,Escherichia coli
CHEMBL576346,444.61,CC(=O)OC[C@]12CCCC(C)(C)[C@@H]1CC[C@@]1(C)[C@@H]3CC=C4C(=O)O[C@@H](O)[C@@H]4[C@@]3(C)CC[C@@H]12,100.0,ug.mL-1,Escherichia coli
CHEMBL573138,458.64,COC(=O)C1=CC[C@H]2[C@]3(C)CC[C@H]4C(C)(C)CCC[C@]4(COC(C)=O)[C@H]3CC[C@]2(C)[C@H]1C=O,100.0,ug.mL-1,Escherichia coli
CHEMBL2377567,374.4,O=C(N[C@@H](Cc1cnc[nH]1)C(=O)NO)c1ccc(C#Cc2ccccc2)cc1,6300.0,nM,Escherichia coli
CHEMBL372795,581.58,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,4.0,ug.mL-1,Escherichia coli
CHEMBL372795,581.58,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,4.0,ug.mL-1,Escherichia coli
CHEMBL3290269,372.26,CC(C)CCO[C@@H]1C=CC(=O)[C@@H](Cn2cc(CCBr)nn2)O1,50.0,ug.mL-1,Escherichia coli
CHEMBL3559578,597.64,CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc(-c4cc(C(N)=O)nn4C)c3)CS[C@H]12)c1csc(N)n1,0.195,ug.mL-1,Escherichia coli
CHEMBL503814,221.29,NC(=S)N/N=C/CC(=O)c1ccccc1,64.0,ug.mL-1,Escherichia coli
CHEMBL2114272,820.12,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@](O)(CNC(C)(C)C)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN[C@H](C)[C@@H](O)[C@]1(C)O,390000.0,nM,Escherichia coli
CHEMBL4061026,594.58,CC1(C)[C@H](NC(=O)/C(=N\OC(c2ccccc2)c2cc(=O)c(O)cn2O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O,0.03,ug.mL-1,Escherichia coli
CHEMBL4091346,548.51,CC1(C)[C@H](NC(=O)/C(=N\OC(CO)c2cc(=O)c(O)cn2O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O,0.06,ug.mL-1,Escherichia coli
CHEMBL4083553,590.59,CC(C)OCC(O/N=C(\C(=O)N[C@@H]1C(=O)N(OS(=O)(=O)O)C1(C)C)c1csc(N)n1)c1cc(=O)c(O)cn1O,0.03,ug.mL-1,Escherichia coli
CHEMBL4095708,606.66,CC(C)SCC(O/N=C(\C(=O)N[C@@H]1C(=O)N(OS(=O)(=O)O)C1(C)C)c1csc(N)n1)c1cc(=O)c(O)cn1O,0.03,ug.mL-1,Escherichia coli
CHEMBL1241113,355.5,Clc1ccccc1CN(CCBr)CCBr,32.0,ug.mL-1,Escherichia coli
CHEMBL148,299.35,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,1.0,ug.mL-1,Escherichia coli
CHEMBL3331305,482.49,NCC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3[C@@H]2C[C@@H]2F)C/C1=N/OCc1ccccc1,0.06,ug.mL-1,Escherichia coli
CHEMBL9,319.34,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,16.0,ug.mL-1,Escherichia coli
CHEMBL1288855,1782.34,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C23CC4CC(CC(C4)C2)C3)NC(=O)[C@H](CCCN)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](C23CC4CC(CC(C4)C2)C3)NC(=O)[C@H](CCCN)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCCN)NC1=O,16.0,ug.mL-1,Escherichia coli
CHEMBL4073412,257.33,CC(C)CCOc1cc(C(N)=O)cc2ccccc12,64.0,ug.mL-1,Escherichia coli BW25113
CHEMBL1288848,1900.34,CC(C)C[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC1=O,64.0,ug.mL-1,Escherichia coli
CHEMBL185295,360.39,CN1CC2CN(c3cc4c(cc3F)c(=O)n(O)c(=O)n4C3CC3)CC2C1,2.0,ug.mL-1,Escherichia coli
CHEMBL290861,404.57,CCCC[S+]([O-])/C=C(\C)C[C@@H]1OCC(C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,100.0,ug.mL-1,Escherichia coli
CHEMBL26153,334.35,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCC(O)CC3)cc21,0.2,ug.mL-1,Escherichia coli
CHEMBL365917,529.9,CC(C)CCC[C@@H](C)[C@H]1CCC2C3C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)CC1=C[C@@H]3NCCCNCCCCN,3.12,ug.mL-1,Escherichia coli
CHEMBL182798,332.34,N[C@H]1[C@@H]2CN(c3cc4c(cc3F)c(=O)n(O)c(=O)n4C3CC3)C[C@H]12,0.25,ug.mL-1,Escherichia coli
CHEMBL1242168,423.3,Cc1nc([N+](=O)[O-])cn1CCN(CCn1ccnc1)Cc1ccc(Cl)cc1Cl,16.0,ug.mL-1,Escherichia coli
CHEMBL2375410,584.82,C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)c2ccccc2N)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,2.0,ug.mL-1,Escherichia coli
CHEMBL476281,271.32,COc1ccc(C(=O)Nc2cccc(C)c2)cc1OC,17.0,ug.mL-1,Escherichia coli
CHEMBL107219,272.35,CN(CC(=O)O)NC(=O)CC(N)C1CCC(N)CC1,32.0,ug.mL-1,Escherichia coli
CHEMBL79207,262.31,CN(CC(=O)O)NC(=O)C[C@H](N)C[C@H](O)CCN,256.0,ug.mL-1,Escherichia coli
CHEMBL3417866,526.87,O=C(/C=C/c1c(-c2ccc(Br)cc2)nc2sc(-c3ccc(Cl)cc3)nn12)c1cccs1,200.0,ug.mL-1,Escherichia coli
CHEMBL2261821,371.05,CC(C)CCCC(C)CCNCCNC1C2CC3CC(C2)CC1C3.Cl,31.25,ug.mL-1,Escherichia coli
CHEMBL2261043,403.41,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)NNC=O)cn1c23,1.0,ug.mL-1,Escherichia coli
CHEMBL3633522,461.44,Cc1c(N2CC(NC(C)C)C2)c(F)cc2c(=O)c(C(=O)O)cn(-c3nc(N)c(F)cc3F)c12,0.01,ug.mL-1,Escherichia coli
CHEMBL3628566,293.36,CC(C)C[C@H](NC1=CC(=O)C=C(C(C)(C)C)C1=O)C(=O)O,265880.0,nM,Escherichia coli ATCC 25922
CHEMBL33,361.37,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.019,ug.mL-1,Escherichia coli
CHEMBL3357500,284.36,CC1(C)C2CC=C(C3CC(=O)c4ccc(O)cc4O3)C1C2,6.25,ug.mL-1,Escherichia coli
CHEMBL3357513,392.49,COCOc1cc(OCOC)c2c(c1)OC(CC(C)CCC=C(C)C)CC2=O,200.0,ug.mL-1,Escherichia coli
CHEMBL515219,388.5,CN(C)c1ccc(C2=Nn3c(Cc4c[nH]c5ccccc45)nnc3SC2)cc1,125.0,ug.mL-1,Escherichia coli
CHEMBL458381,390.43,O=[N+]([O-])c1ccc(C2=Nn3c(Cc4c[nH]c5ccccc45)nnc3SC2)cc1,125.0,ug.mL-1,Escherichia coli
CHEMBL1082643,394.4,CCCC[C@H](CN(O)C=O)C(=O)N1CC=C[C@H]1C(=O)Nc1ccc(F)c[n+]1[O-],64.0,ug.mL-1,Escherichia coli
CHEMBL485290,389.44,Cc1ccc(C(=O)c2cn(-c3ccccc3)nc2-c2ccc([N+](=O)[O-])s2)cc1,0.25,ug.mL-1,Escherichia coli
CHEMBL2260126,456.59,CCOC(=O)C1=C(C)NC(=S)NC1c1ccc(NC(=S)Nc2ccc(OC)cc2)cc1,10.0,ug.mL-1,Escherichia coli
CHEMBL264098,2192.86,CC(C)C[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)O,4000.0,nM,Escherichia coli
CHEMBL2260320,475.04,CCOC(=O)C1=C(C)NC(=S)NC1c1ccc(NC(=S)Nc2c(C)cccc2Cl)cc1,65.0,ug.mL-1,Escherichia coli
CHEMBL2260317,510.56,CCOC(=O)C1=C(C)NC(=S)NC1c1ccc(NC(=S)Nc2ccccc2OC(F)(F)F)cc1,35.0,ug.mL-1,Escherichia coli
CHEMBL472823,314.79,Fc1ccc(-c2nc3cc(Cl)ccc3n2C2CCCC2)cc1,25.0,ug.mL-1,Escherichia coli
CHEMBL473410,331.25,Clc1ccc(-c2nc3cc(Cl)ccc3n2C2CCCC2)cc1,25.0,ug.mL-1,Escherichia coli
CHEMBL8,331.35,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.19,ug.mL-1,Escherichia coli
CHEMBL3634525,290.36,CCOC(=O)C1(C)C(C)NC(=O)N(C)C1c1ccccc1,68.0,ug.mL-1,Escherichia coli
CHEMBL2237870,584.49,CC1(C)CC(=O)C2=C(C1)N(c1ccc(F)cc1)C(=O)CC2c1cn(-c2ccccc2)nc1-c1ccc(Br)cc1,0.5,ug.mL-1,Escherichia coli
CHEMBL456303,270.33,O=C(CCCCc1ccccc1)c1c(O)cccc1O,128.0,ug.mL-1,Escherichia coli
CHEMBL1096329,595.14,CCCCN(CCCC)CN1C(=O)/C(=N\c2ncc(Cc3cc(OC)c(OC)c(OC)c3)c(N)n2)c2cc(Cl)ccc21,1250.0,ug.mL-1,Escherichia coli
CHEMBL303865,327.34,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C3c4ccsc4CC[C@@H]3[C@H]12.[Na+],1.0,ug.mL-1,Escherichia coli
CHEMBL617,396.45,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,256.0,ug.mL-1,Escherichia coli
CHEMBL134363,412.72,CCCCCCCCCCCC(=O)OCC[N+](CCCC)(CCCC)CCCC,125.0,ug.mL-1,Escherichia coli
CHEMBL389847,537.64,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3C[C@@H](C(=O)N4CC[C@H](NC(=O)CNC(=N)N)C4)N(C)C3)[C@H](C)[C@H]12,4.0,ug.mL-1,Escherichia coli
CHEMBL1631153,504.89,CC(=O)N[C@@H](Cc1ccccc1)C(=O)Oc1ccc(Cl)cc1C(=O)Nc1ccc(C(F)(F)F)cc1,125000.0,nM,Escherichia coli
CHEMBL246094,763.9,NCCC[C@H](NC(=O)/C=C/c1ccc(O)cc1)C(=O)N[C@@H](CCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,8.0,ug.mL-1,Escherichia coli
CHEMBL477460,371.22,Clc1ccc(OCOc2ccc(Cl)c3cccnc23)c2ncccc12,50.0,ug.mL-1,Escherichia coli
CHEMBL1243131,414.49,COc1ccc2nc(Nn3c(-c4ccc(C)cc4)nnc3-c3cccnc3)sc2c1,250.0,ug.mL-1,Escherichia coli
CHEMBL69018,260.38,C=C[C@@H](O)C#CC#C[C@@H](O)/C=C\CCCCCCC,2.5,ug.mL-1,Escherichia coli
CHEMBL148,299.35,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,0.25,ug.mL-1,Escherichia coli
CHEMBL1222562,372.82,N#CC1=C(N)OC(c2c[nH]c3ccccc23)=C(C#N)C1c1ccc(Cl)cc1,21.5,ug.mL-1,Escherichia coli
CHEMBL3313965,604.59,O=C(O)CC(O)(CC(=O)NCCCCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)C(=O)O,1.0,ug.mL-1,Escherichia coli
CHEMBL376140,585.66,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.25,ug.mL-1,Escherichia coli
CHEMBL3313964,562.51,O=C(O)CC(O)(CC(=O)NCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)C(=O)O,36.0,ug.mL-1,Escherichia coli
CHEMBL563543,533.59,N#CSc1c(-c2ccc(-c3cc4ccccc4oc3=O)cc2)nc2sc(Cc3noc4ccccc34)nn12,3.5,ug.mL-1,Escherichia coli
CHEMBL452865,287.32,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCN=[N+]=[N-],500000.0,nM,Escherichia coli
CHEMBL1668437,421.5,C[C@@H](O)[C@@H](NC(=O)N1CCC(c2ccc(C#Cc3ccccc3)cc2)CC1)C(=O)NO,0.8,ug.mL-1,Escherichia coli
